,ID,Mac,SSID,Time,Frequncy,Signal,Lat,Lon,Alt
212,model=Lenovo PB2-690Y_device=PB2PRO,d4:6e:0e:3c:44:e1,SIEMENS_LivingRoom,12/1/2017 10:59,1,-77,32.17020320623732,34.812484478540334,34.90574762429787
213,model=Lenovo PB2-690Y_device=PB2PRO,74:da:38:c6:57:9b,edimax.setup,12/1/2017 10:58,9,-71,32.17027834,34.81274376,40.0
214,model=Lenovo PB2-690Y_device=PB2PRO,84:16:f9:e4:e3:ca,TP-LINK_E3CA,12/1/2017 10:58,9,-77,32.17027312224917,34.81276273626247,34.71669676637116
215,model=SM-G950F_device=dreamlte,e8:94:f6:e2:6e:4b,frank,12/1/2017 11:00,6,-65,32.17024184146893,34.812641694928615,32.255972098477
216,model=SM-G950F_device=dreamlte,e8:cc:18:ac:1b:e1,Daizad,12/1/2017 10:59,3,-90,32.17024205,34.81353312,29.09677085
217,model=SM-G950F_device=dreamlte,10:5a:f7:08:27:71,Baruch_2.4,12/1/2017 10:59,6,-90,32.17094895,34.81367243,29.87122719
218,model=Lenovo PB2-690Y_device=PB2PRO,a8:c8:3a:35:b6:d4,Partner-4G-B6D4,12/1/2017 10:59,1,-92,32.17103853,34.81359455,43.0
219,model=SM-G950F_device=dreamlte,cc:b2:55:67:2b:85,claire,12/1/2017 10:59,6,-90,32.17092411,34.81275919,29.9988896
220,model=SM-G950F_device=dreamlte,62:b2:55:67:2b:86,Bezeq Free 672B84,12/1/2017 10:59,6,-92,32.17092411,34.81275919,29.9988896
221,model=Lenovo PB2-690Y_device=PB2PRO,a4:2b:b0:d4:55:38,motti-5ghz,12/1/2017 10:59,40,-88,32.17074693,34.8126719,38.0
222,model=Lenovo PB2-690Y_device=PB2PRO,00:14:bf:42:7e:96,hot,12/1/2017 10:59,9,-83,32.17022650720973,34.81242085933985,40.0
223,model=Lenovo PB2-690Y_device=PB2PRO,18:d6:c7:97:bd:2a,hot,12/1/2017 10:59,11,-86,32.17013195,34.81237323,40.0
224,model=Lenovo PB2-690Y_device=PB2PRO,94:57:a5:4b:4f:41,DIRECT-1C-HP DeskJet 3830 series,12/1/2017 10:59,6,-77,32.169671684898894,34.81218519082484,35.77392634781131
225,model=Lenovo PB2-690Y_device=PB2PRO,82:2a:a8:bf:94:29,Home,12/1/2017 10:59,11,-70,32.16929824830763,34.81201572904395,38.491247228315345
226,model=SM-G950F_device=dreamlte,00:30:4f:82:7b:30,WR,12/1/2017 10:59,11,-89,32.16921658,34.8119993,30.24608018
227,model=SM-G950F_device=dreamlte,54:64:d9:5f:59:83,HOTBOX-651B,12/1/2017 10:59,1,-77,32.169449437546724,34.812115748796636,29.925594413532966
228,model=Lenovo PB2-690Y_device=PB2PRO,14:cc:20:da:ab:9a,Fuck Off,12/1/2017 11:00,11,-77,32.16902986,34.81190459,33.0
229,model=Lenovo PB2-690Y_device=PB2PRO,82:2a:a8:bf:93:e5,Home,12/1/2017 11:00,1,-85,32.16942426,34.81209986,36.0
230,model=Lenovo PB2-690Y_device=PB2PRO,d0:d4:12:5e:db:f2,Siemens,12/1/2017 11:00,11,-82,32.170409635313014,34.81253033272143,35.37451756555825
231,model=Lenovo PB2-690Y_device=PB2PRO,c4:04:15:64:e8:cc,Gillad-1_2.4,12/1/2017 11:00,11,-77,32.17053537,34.81259485,37.0
232,model=Lenovo PB2-690Y_device=PB2PRO,e8:d1:1b:72:74:81,HOTBOX-747B,12/1/2017 11:01,1,-91,32.1718612,34.81297848,39.0
233,model=Lenovo PB2-690Y_device=PB2PRO,80:1f:02:d4:9a:92,Ben-Eliyahu_PC,12/1/2017 11:01,10,-92,32.17230215,34.81400233,37.0
234,model=Lenovo PB2-690Y_device=PB2PRO,14:9d:09:80:00:f1,HUAWEI-00F1,12/1/2017 11:03,6,-85,32.17223176,34.81443004,45.0
235,model=SM-G950F_device=dreamlte,06:ae:db:58:73:75,BezeqFree,12/1/2017 11:04,1,-57,32.17225213070143,34.814198630960455,48.24472126330315
236,model=Lenovo PB2-690Y_device=PB2PRO,f4:f2:6d:af:45:26,Basement,12/1/2017 11:07,3,-87,32.17231428239179,34.81391151665927,40.533851276359606
237,model=SM-G950F_device=dreamlte,fc:b4:e6:d2:86:9e,Lahav,12/1/2017 11:04,11,-81,32.17230692,34.81390382,46.7222322
238,model=SM-G950F_device=dreamlte,30:e1:71:be:67:57,DIRECT-56-HP OfficeJet 6950,12/1/2017 11:04,11,-90,32.17257422,34.81234245,43.21979902
239,model=Lenovo PB2-690Y_device=PB2PRO,14:ae:db:32:d5:c2,GFCM,12/1/2017 11:04,4,-92,32.170756655818515,34.81134200550574,28.224541140145234
240,model=SM-G950F_device=dreamlte,88:dc:96:3b:f5:e0,kenley-up,12/1/2017 11:04,6,-87,32.17244369,34.81206366,42.9234122
241,model=SM-G950F_device=dreamlte,8c:59:c3:ea:db:4b,Liza,12/1/2017 11:05,36,-91,32.17177366,34.81183742,41.75368558
242,model=Lenovo PB2-690Y_device=PB2PRO,08:97:58:31:e0:c6,SEW132_23574336,12/1/2017 11:05,3,-78,32.171398492874914,34.81167781405381,36.90583662164039
243,model=Lenovo PB2-690Y_device=PB2PRO,54:b8:0a:34:78:d0,Shani - Green,12/1/2017 11:05,6,-88,32.17153243,34.81172407,31.000000000000004
244,model=SM-G950F_device=dreamlte,6c:2e:85:fe:da:b8,HOTBOX-1966,12/1/2017 11:05,6,-75,32.17134388,34.81166865,41.11423605
245,model=SM-G950F_device=dreamlte,3c:1e:04:07:2a:fe,ronkla2,12/1/2017 11:05,6,-80,32.17134388,34.81166865,41.11423605
246,model=Lenovo PB2-690Y_device=PB2PRO,c4:12:f5:82:92:78,David,12/1/2017 11:05,9,-96,32.17063751,34.81125367,31.0
247,model=SM-G950F_device=dreamlte,18:cc:23:00:18:45,gononsmarthome,12/1/2017 11:05,3,-89,32.17043486067501,34.811190730659135,35.16075161245529
248,model=Lenovo PB2-690Y_device=PB2PRO,fa:8f:ca:35:6e:e9, ,12/1/2017 11:05,1,-86,32.16991824,34.81090236,25.0
