Time,ID,Lat,Lon,Alt,WiFi networks,SSID1,MAC1,Frequncy1,Signal1,SSID2,MAC2,Frequncy2,Signal2,SSID3,MAC3,Frequncy3,Signal3,SSID4,MAC4,Frequncy4,Signal4,SSID5,MAC5,Frequncy5,Signal5,SSID6,MAC6,Frequncy6,Signal6,SSID7,MAC7,Frequncy7,Signal7,SSID8,MAC8,Frequncy8,Signal8,SSID9,MAC9,Frequncy9,Signal9,SSID10,MAC10,Frequncy10,Signal10
2017-11-09 14:59:16,GT-N7100,32.1021225451101,35.2093886633279,693.639696436598,1,,1c:b9:c4:96:f1:97,60,-80,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:59:18,GT-N7100,32.102125640395,35.2093758294405,693.556569354521,1,DIRECT-55-HP DeskJet 3630 series,3c:52:82:ef:d4:56,6,-76,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:59:20,GT-N7100,32.1021268475595,35.2093483546287,693.417001483854,1,Ariel_University,1c:b9:c4:14:2b:d8,1,-84,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:59:22,GT-N7100,32.1021242307835,35.2093285405195,693.374891530398,2,Ariel_University,1c:b9:c4:14:2b:dc,36,-90,Ariel_University,1c:b9:c4:16:28:f8,6,-89,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:59:25,GT-N7100,32.1021332702278,35.2092805846919,692.998699264611,4,Ariel_University,1c:b9:c4:14:2b:d8,1,-79,Ariel_University,1c:b9:c4:14:2b:dc,36,-83,BezeqFree,5a:6f:13:70:8c:fd,8,-91,The Slav Squad,e4:6f:13:70:8c:fc,8,-94,,,,,,,,,,,,,,,,,,
2017-11-09 14:59:28,GT-N7100,32.1021381856494,35.209257656882,692.775471223692,4,Ariel_University,1c:b9:c4:14:2b:d8,1,-74,Ariel_University,1c:b9:c4:14:2b:dc,36,-78,The Slav Squad,e4:6f:13:70:8c:fc,8,-88,tachlit3,48:ee:0c:3e:86:dd,7,-96,,,,,,,,,,,,,,,,,,
2017-11-09 14:59:31,GT-N7100,32.1021503952569,35.209254194627,692.351181344131,1,Ariel_University,1c:b9:c4:14:2b:d8,1,-66,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:59:35,GT-N7100,32.10218511437,35.2092190820786,691.351932271155,3,Ariel_University,1c:b9:c4:14:2b:dc,36,-69,,1c:b9:c4:94:2b:d7,36,-69,Ariel_University,1c:b9:c4:14:33:c8,11,-88,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:59:37,GT-N7100,32.1021908007631,35.2092053326679,690.990143908547,3,Ariel_University,1c:b9:c4:14:2b:dc,36,-63,tachlit3,48:ee:0c:3e:86:dd,7,-91,Ariel_University,ec:8c:a2:08:94:18,1,-85,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:59:39,GT-N7100,32.1022036817047,35.2091903774312,690.777330829391,6,Ariel_University,1c:b9:c4:14:2b:dc,36,-56,Ariel_University,1c:b9:c4:16:28:f8,6,-81,,1c:b9:c4:94:2b:d7,36,-57,Ariel_University,1c:b9:c4:16:28:fc,36,-84,Ariel_University,1c:b9:c4:14:2f:6c,36,-90,Ariel_University,1c:b9:c4:14:2c:18,1,-86,,,,,,,,,,,,
2017-11-09 14:59:42,GT-N7100,32.10222354176,35.209160422318,690.448986736187,6,Ariel_University,1c:b9:c4:14:33:c8,11,-81,Ariel_University,1c:b9:c4:14:2f:68,6,-83,,ec:8c:a2:88:94:17,40,-87,Ariel_University,1c:b9:c4:16:f4:2c,44,-87,Ariel_University,ec:8c:a2:08:94:1c,40,-87,Ariel_University,1c:b9:c4:16:f4:28,11,-84,,,,,,,,,,,,
2017-11-09 14:59:44,GT-N7100,32.1022439992105,35.2091366393971,689.999237465927,4,Ariel_University,1c:b9:c4:14:33:cc,36,-84,Ariel_University,ec:8c:a2:26:b1:78,1,-87,Ariel_University,1c:b9:c4:15:43:ec,36,-92,Ariel_University,1c:b9:c4:15:43:e8,1,-88,,,,,,,,,,,,,,,,,,
